task,metric,pretrained,finetuned,delta_percentage_points,evaluated_queries,skipped_queries,gallery_size
text_to_image,recall@1,0.47520661157024796,0.6115702479338843,13.63636363636363,484,0,484
text_to_image,recall@5,0.8140495867768595,0.9235537190082644,10.950413223140497,484,0,484
text_to_image,recall@10,0.9132231404958677,0.9793388429752066,6.6115702479338845,484,0,484
image_to_text,recall@1,0.49586776859504134,0.5971074380165289,10.123966942148755,484,0,484
image_to_text,recall@5,0.8140495867768595,0.9194214876033058,10.537190082644631,484,0,484
image_to_text,recall@10,0.9214876033057852,0.9772727272727273,5.578512396694213,484,0,484
image_to_image_category,recall@1,0.06570708886712319,0.07078906856704927,0.5081979699926076,439,45,484
image_to_image_category,recall@5,0.2711636096787834,0.28563443287173396,1.4470823192950566,439,45,484
image_to_image_category,recall@10,0.41926350692093783,0.43844027442759625,1.917676750665842,439,45,484
